# datafile= 47tuc_fromUV.raw
#  F225mF336 F225 F336     comp       cumweight      pos
-0.403 22.1030 22.5060 0.478139084444 563.34648603 597
-0.4 22.1060 22.5060 0.345386588627 566.241792429 598
-0.611 21.8960 22.5070 0.945545507452 567.299382986 599
-0.698 21.8090 22.5070 0.863624550509 568.457293561 600
-0.74 21.7680 22.5080 0.615488337765 570.082019715 601
-0.65 21.8580 22.5080 0.916814306564 571.172753131 602
-0.447 22.0630 22.5100 0.902562432502 572.280709727 604
-0.656 21.8550 22.5110 0.864464091674 573.437495774 606
-0.607 21.9070 22.5140 0.562411831996 575.21555225 611
-0.796 21.7190 22.5150 0.911826256534 576.312252409 612
-0.588 21.9300 22.5180 0.917723779661 577.401904897 614
-0.895 21.6270 22.5220 0.591178868818 579.093440323 617
-0.372 22.1500 22.5220 0.847648821748 580.273174164 618
-0.504 22.0190 22.5230 0.934036805711 581.343795786 620
-0.732 21.7920 22.5240 0.944620184115 582.402422329 621
